review,sentiment
kegagalan ini tuh gara gara keamanan sama blom siap aja Indonesia bukan gara gara statment Pak Ganjar loh,positive
Jar blm bangun? Kok diem aje? @ganjarpranowo   Mn suaramu yg lantang,negative
dengerin nih ap kt pak presiden.,positive
Jateng dijajah agama arab,negative
Bila informasi ini diinformasikan perlu ada uji kevalidan informasi dan untuk PSSI alangkah lebih elok untuk dapat menjelaskan fakta yang ada shingga tidak ada tersudut dari pihak terkait,positive
Pilihan tiap orang Berbeda' karna setiap orang mempunyai hak masing',positive
Mohon maaf. Kenapa tidak menginvestigasi dari pengunduran diri Menpora? Sepertinya skenarionya mulai dari sana..,positive
Ternyata bukan israel yang melakukan penolakan ternyata dari pihak indonesia dan pssi,positive
Wih mantep nih,positive
Maju terus pak Ganjar Pranowo,positive
Kan ada tanda tanya nya,positive
Habis itu bu banteng Naikin ganjar lagi... Muter terus sampai kita juara piala dunia,negative
Daripada saling menyalahkan lebih baik saling memperbaiki diri,positive
Bangga banget memang mempunyai pemimpin seperti pak Ganjar Pranowo,positive
Pak cuma mau tanya. Kalo israel di paial dunia u20 datang melanggar konstitusi.. kalo ibu puan menyambut hangat delegasi knesset israel gmn pak? ada bendera israel jg pak.,positive
kurang piknik mas sampean,negative
Mimpi anak muda bukan hanya disitu saja mas,positive
Yak ngebuzzer teross buat nutupin komen. Kasian woii! Itu CS orang beneran,negative
Waduh,negative
Kalau itu hak anda untuk terus mendukung atau tidak..  Bagi aku anak medan aku menarik dukungan terhadap ganjar..  Dia belom bisa seperti jokowi.. Kapasitas nya sangat2 di bawah standart..   Mohon maaf ,positive
Sudah baca tempo yang hari ini nihhh!!! Aga terkejut yaaaw,positive
Bapak mau jadi presiden jawa ya,positive
Semoga semuanya aman terus yaa,positive
Orang mancam anda cocok jadi pejabat negara......,positive
Seperti yang dinyatakan dalam harian tempo saya setuju bahwa kemungkinan akan ada drama selanjutnya,positive
Jujur saya tidak benci pak Ganjar Pranowo,positive
Ayo pak ganjar... Jujur itu kadang menyakitkan dari pada bohong menyiksa diri.  Pilihan yg sulit karena dirimu sendiri yang memulai,positive
Jangan lupa terus amalkan sunnah selama berpuasa,positive
Sungguh aneh menyalahkan seseorang padahal ada sesuatu itulah yg Arya lakukan,positive
Semua akan indah pada waktunya Pa,positive
Tapi siapa yg mau nyalonin? Masa milih tirai zonk,negative
Mengubur mimpi anak muda? memangnya masyarakat Indonesia anak mudanya hanya memiliki satu mimpi saja?,positive
Masak mata ada kacanya.. apa gak perih,negative
Setuju kak,positive
Investigasi Tempo itu yg bener,positive
Sebenarnya pak ganjar tidak salah,positive
Sangat bagus banget nih,positive
Saya sudah baca Tempo barusan,positive
Hahahaha... Biar bagaimanapun yang namanya kebenaran pasti terungkap deh. Banyak yang mendadak benci dan saya tau bahwa mereka sebenarnya bukan pendukung asli dsn hanya terpaksa saja. Lihat PSSI mau bilang apa nanti? Segala pake ngelawak ngangkat pahlawan pula.,positive
ini masalah kemanusiaan dan prinsip bangsa kita sbg sebagai bangsa yg menolak penjajahan loh,positive
Kerenlah semoga bisa memajukan jateng agar lebih maju dan berkembang lagi.,positive
Semoga ini menjadi Ramadan yang memberikan banyak berkah buat kita semua Amin,positive
PSSI jangan menyudutkan pak ganjar,negative
Saya mah tetap setia dukung Ganjar,positive
Hal yang sangat positif banget sih ini,positive
Setiap umat Muslim memiliki pandangannya sendiri perihal bulan suci Ramadhan yang penuh berkah ini.   Hal tersebut juga dirasakan salah satunya oleh Gubernur Jawa Tengah Ganjar Pranowo perihal kebaikan yang didapat selama bulan suci Ramadhan ini. ,positive
lagi sama siapa ini ya,positive
Blom disuruh bu awan,negative
Alhamdulillah kalau kayak gini kan siap untuk kembali membangun negeri,positive
Jangan jadi tuan rumah kalau alasannya tidak ada hubungan diplomatik,positive
menpora,positive
memang sangat disayangkan Indonesia gagal jadi tuan rumah pildun tp knp malah mengkambing hitamkan pak ganjar,positive
Saya sudah baca Tempo minggu sekarang,positive
masih tegak lurus mendukung,positive
Terima kasih banyak min sudah selalu menshare hal-hal positif,positive
Asik nih,positive
Upload prestasi dibilang pencitraan,negative
Biar adil,positive
harusnya Ganjar adalah pahlawan krn mempertahankan konstitusi,positive
Beritanya udah dari tempo kemarin udah jelas juga bagaimana sikap yang diambil presiden,positive
ini bukan hanya masalah prinsip bangsa kita sbg sebagai bangsa yg menolak penjajahan tapi juga rasa kemanusiaan,positive
Sudah saatnya sekarang semua bersatu paduan bangun negeri,positive
Semangat dan selamat menjalankan ibadah puasa semuanya,positive
heran dah kenapa malah nyalahin dan mengambing hitamkan pak ganjar segitunya ya,positive
TIDAK MENGHANCURKAN mimpi pemain u20,positive
Anda sudah makan bang.?,positive
kenapa jadi malah nyalahin pak ganjar ya? Ini bapaknya kayanya kurang baca dan riset sih alasan utama Indonesia batal jadi tuan rumah,positive
Semoga walikota dan Gubernur ini selalu bisa menjalankan kerjasama yang baik Demi kemajuan daerah yang dipimpin,positive
Sekanario untuk menjatuhkan orang-orang ttt. Tempo mengungkap fakta yang akurat. FIFA menolak maka piala dunia batal.,positive
Semangat terus berpuasa sudah masuk hari ke-12,positive
Wajar dia cium tangan sama yg lebih tua itu namanya adab menghormati,positive
Kode-kodean Soal Manuver Tolak Israel Menjajaki Indonesia,negative
Alhamdulillah semuanya clear dan keduanya siap untuk bersinergi memberikan yang terbaik untuk masyarakat,positive
Demi mendulang elektoral,negative
Semoga puasa yang kita lakukan mendatangkan banyak hikmah dan berkah,positive
ganjar.. semir dulu tu rambut lu biar otak jd waras,negative
Banyak mndum air putih pak...  Tarik nafas Biar jgn salah urat,negative
Kalo Piala Dunia udah batal.  Cuci tanya saja gak jadi Solusi Mulai dari wudhu lagi. Niat.  Baru murtad.,negative
Tolong pak hak kami di ambil,negative
Tidak ikut kejuaraan apapun yg international,negative
Indonesia Batal Tuan Rumah Piala Dunia,negative
Seberapa susah kalian login,negative
Sejak dulu saya mengidolakan bapak ganjar pranowo. Namun,negative
Antara walikota dan gubernur memang harus bersinergi membangun daerahnya,positive
Next time jgn blunder yah mas,positive
Insyallah puasa kita berkah aamiin,positive
Bodo amat,negative
Mau cari simpati Umat muslim dg jual ayat sok belain palestina haha dasar si Genjer  pemecah belah bangsa ,negative
Hanya petugas partai bukan wakil rakyat,negative
jangan lupa pak statement nya,negative
Intinya Uban gak lolos tes ombak Krn akal Budi gak dipakai presiden sebagai penjamin pildun U20 ditikam dikhianati bawahan nya Gubernur faham sono,negative
Raja ngibul asal dr got,negative
Wah ini yg lagi rame ya kemarin?? Gimana Sudah Baca Tempo kah?,positive
Jd yg nyerang pk ganjar ni pdip faksi  ahok ya,negative
Anak ingusan kencing aja belum lancar udh mau jd walikota emang Negara ini punya mbha Mue dongok,negative
mungkin lbh baik dianggap ga ngerti konstitusi,negative
Ahhh sekedar sandiwara belaka,negative
Adu Bagong kali,negative
Santai belum kiamat.... Cuhh,positive
Potensi kenaikan jumlah pemudik ke Jateng pada lebaran tahun ini mencapai 45,positive
Siap atau tdk siap,positive
YANG HARUS BERTANGGUNG JAWAB,negative
Gibran cocok jadi the next president menggantikan pak jokowi,positive
Sudah ttd city host,positive
Sudah Baca Tempo dan lumayan bingung kemarin. Lagi nungguin,positive
minta maaf belum pak?,positive
Saya Sudah Baca Tempo sih jadi lebih tau alur pembatalan Pildun baru-baru ini di,positive
"Komandonya mungkin..""Taati Idiologi Negara""",negative
Jurus pencitraan nya kok sama ?,negative
"Malah jadi  ""macan dunia""",negative
Hayo siapa mau jadi JC,negative
Keren banget udah buka kuota lagi nih,positive
Pak ganjar pranowo,positive
Ini dapat insight baru setelah Sudah Baca Tempo walaupun blm bisa nemuin yg bnernya gimana,positive
SEKALIPUN KAMI KECEWA TERHADAP GANJAR PRANOWO HARAM BAGI KAMI MEMILIH PRESIDEN RI DARI KAUM BANI KADRUN BIN TAI ONTA!!KAMI TETAP AKAN MEMILIH ORANG ASLI INDONESIA (PRIBUMI)!!,negative
Untuk memajukan ekonomi jateng mari kita dukung produk lokal Indonesia,positive
Preeet......gue sakit hati gegara Pildun batal. Salahsatu pntebab batalnya elo GANJAR !!!! Mit amit kalau elo jadi presiden. Dasar koplak,negative
SeSudah Baca Tempo si gw jadi lebih dapet info yang jelas soal batalnya Pildun kemaren,positive
Ketika fakta sebenarnya terungkap masih kah menyalahkan ganjar pranowo yg hanya ber statment saja padahal itu beliau memperkuat peryataan Resmi pemerintah yg sesuai permen lu no 3 th 2019.tapi ditolak Fifa,positive
Semangat terus untuk masyarakat yang menunaikan ibadah puasa,positive
Sudah Baca Tempo blum mengenai penyebab Indonesia gagal menjadi tuan rumah pildun? Baca dulu yuk biar jelas,positive
Biasa nya yg suka teriak teriak itu tititnya kecil,negative
min gak ikutan,positive
Aria bima waktu ditvone nyuruh pembirsah baca majalah tempo,positive
Kalau Sudah Baca Tempo hrsnya dapat titik terangnya,positive
Gw Sudah Baca Tempo sihh,positive
Terus tekan kemiskinan untuk sejahterakan masyarakat,positive
Sudah Baca Tempo setelah  saya baca rumit sekali yaw permasalahannya,positive
Ya ita lah. Negara dan bangsa Indonesia lebih diutamakan dr pada sekedar permainan bola.  Jgn sampai bumi pertiwi dikuasai bangsa arab,negative
Sudah Baca Tempo wahhh bener bener wow banget sihh,positive
Aku Sudah Baca Tempo ,positive
"Kalo israel ga jd maen pildun di indonesa, artinya gelombang penolakan yg anda gagas sukses. Maka elektabilitas anda akan melambung. Tus tiket presiden 2024 ada digenggaman. Tp sayangnya FIFA lebih pintar. Tak semudah itu mereka dimanfaatkan ""politikus2"" mngkin spt jenengan.",negative
Bener tuh ngeriii.... Jalur cepat,negative
Sudah Baca Tempo jadi tau nih soal yang lagi rame masalah piala Dunia,positive
Hokky Caraka Minta Maaf ke Ganjar Pranowo Setelah Beri Komentar Pedas di Instagram ,positive
Pati-rembang macet poll  Merugikan sejawa ganjar pranowo ....  Mo urus negeri bakal ancurr,negative
Ganjar Pranowo dikorbankan oleh ET yg main peran jd pahlawan tp kesiangan,negative
Aku tadi Sudah Baca Tempo,positive
Bomat.. Intinya udh kecewa.,negative
Konsisten ya ,positive
RI 1 ,positive
Apa yang dilakukan oleh mas Aria Bima ini sekali karena akan Sudah Baca Tempo,positive
Aku Sudah Baca Tempo yg beberapa hari lalu. Memang disitu ada,positive
CAPER!,negative
Apa benar gara statment ganjar pranowo dan wayan koster yg membatalkan piala Dunia FIFA U20. Silahkan baca Investigasi Tempo teryata mengungkap Fakta yg lain selama ini ditutupi PSSI,negative
udahh paham masalah ini soalnya Sudah Baca Tempo,positive
Gara gara Sudah Baca Tempo Yang tentang #InvestigasiTempo jdi paham deh,positive
P E N J I L A T,negative
Tp prinsip,negative
Sehat selalu pak,positive
Sahabat #Jalancantik #JatengGayeng Pekerjaan Pembersihan Longsoran Pemeliharaan Rutin Jalan dan Jembatan di Ruas Jalan Balai Pengelolaan Jalan Wilayah Magelang.,positive
Sudah Baca Tempo kan??? Aku terus nungguin info terbaru tentang bola yang kemarin gagal.. ,positive
Jadi presiden itu menolak dan mnghukum mati korupsi,positive
Ga jadi mudik pak gara gara piala dunia U 20 batal .. udah gtu di kampung banyak yang menolak ..,negative
Iya nih aku juga Sudah Baca Tempo terkait piala dunia U-20.. #InvestigasiTempo,positive
Info penegakan konstitusi dalam cabang olahraga selain sepakbola,negative
Tinggal menunggu info selanjutnya nihh ...tadi kebetulan Sudah Baca Tempo #InvestigasiTempo,positive
Budak budak kadrun!!!  ,negative
Mana berani.,negative
soal berita ini sihh aku Sudah Baca Tempo emang ada #InvestigasiTempo,positive
 Ini sikambing ompong,negative
Manusia super yg tak serius urusi lingkungan hidup,negative
Masyarakat senang banget melihat kedekatan Pak Ganjar dan Mas Gibran,positive
Wkwkwwkkwwkk,positive
Sudah Baca Tempo tadi semoga adatitik terang. #InvestigasiTempo,positive
Hayo siapa yang Sudah Baca Tempo? Jangan sampai kelewatan berita bola yang kemarin gagal itu yaa..  #InvestigasiTempo,positive
Biar bagaimanapun kebohongan pasti akan terungkap,positive
AYO TOLAK MEREKA Biar Negara Ini Tidak Di Cap Munafik Dan Inkonsisten...,negative
"""Tuanku ya rakyat, Gubernur cuma mandat""",positive
Saatnya terbuka #InvestigasiTempo Jangan ada yg tutup tutupi pake karangan bunga,positive
Gagal jadi tuan rumah piala dunia,negative
Itu membuka fakta bahwa Semua geger pada maret 2023. Emang si TEMPO ini ada berapa momen berprasangka baik dengan hal yang berkaitan dengan presiden Jokowi? GAK PERNAH. meskipun itu hal baik yang benar di rasakan rakyat bawah sekalipun,negative
Laju Pencapresan Anies Baswedan Menentukan Jalan Ganjar Pranowo dan Prabowo Subianto di Pilpres 2024 ,positive
Tumben Mas Wali foto bareng berkenan senyum,positive
Baru aja gua Sudah Baca Tempo,positive
Cuma dibaca doang,negative
Mba Tita perlu lagi belajar politik tingkat tinggi neh kayaknya,negative
Iya tadi Sudah Baca Tempo buat liat beritanya juga #InvestigasiTempo,positive
Jelas PDIP nyungsep 2024,negative
Pelampiasan emosi,negative
Dari awal sudah kuduga,positive
Sudah Baca Tempo dan masih menunggu hasil #InvestigasiTempo. Semoga cepat kelar,positive
Dengan bergabungnya israel d FIFA apakah kita harus keluar dr keanggotaan atau menunggu d kick out oleh FIFA dulu..ayo segera ambil keputusan bangsaku,negative
Ada apa,positive
gimana soal mimpi pemuda bangsa pak...,negative
Sebenarnya gua dah Sudah Baca Tempo,positive
Kalau dia berani saya siap dukung dia,positive
Pada Sudah Baca Tempo minggu kemaren. Harusnya sudah pada paham #InvestigasiTempo,positive
Ganjar sama Koster jelas nggak konsisten pengingkar janji  Orang berintegritas akan tetap teguh pada sikap awal  Bukan orang yang gampang disetir,negative
Anda pakai Permenlu? Masalahnya  PD itu eventnya FIFA,negative
Gue baru aja Sudah Baca Tempo,positive
Sudah Baca Tempo? Menguak fakta ttg pembatalan Pildun U-20 di Indonesia..  Pd intinya bukan krn pernyataan Pak ganjar pranowo ato Gub Wayan Koster yg mengirimkan Surat.  Tapi mmg tidak sesuai konstitusi. Knp PSSI kok smcm ga terbuka? Gmn tanggapannya ttg hasil,negative
Lu tau sendiri fans emyu di indo ramenya kek mana,negative
tanggepi pak,negative
Yah Betul apa ADICK ADICK... GENSET,negative
Bagian mn yg penolakan israel sikap resmi pemerintah? Tgl 21 mar presiden masih menginstruksikan pildun jln terus,positive
Gue sih Sudah Baca Tempo yg beberapa hari lalu sih #InvestigasiTempo,positive
Pastinya Sudah Baca Tempo karena sangat jelas infonya #InvestigasiTempo,positive
Jangan bikin malu orang Batak lah Lae... Tahu Sopan santun bukan ? Sekalipun kamu tidak suka tak harus dengan kata kata kotor begitu. Kalau ngak suka ya diabaikan saja.,negative
Harus belajar hukum tata negara,negative
Jane kalau udh tau ya jangan banyakan drama,negative
Aku tau beritanya karena Sudah Baca Tempo ,positive
Mending mikirin palestina daripada mikirin jalan,positive
Sudah Baca Tempo harus update info  #InvestigasiTempo,positive
Kalau lihat dari jawaban Bambang Pacul sih ya mau siapapun presidennya tetap akan ikut arahan Ketum pengusung ,negative
udah Baca Tempo dan tolong di up nih liat secara jernih dari segala sisi ya guys #InvestigasiTempo,positive
Pasti,positive
nahh bener mendukung produk lokal,positive
Selamat menunaikan ibadah puasa buat masyarakat Indonesia,positive
Sudah Baca Tempo dan skrg mulai mikir penyebab utamanya apa ya? Lagi Nunggu kabar selanjutnya.  #InvestigasiTempo,positive
Kayanya yang Sudah Baca Tempo setuju nih sama hasilnya #InvestigasiTempo,positive
Gue mau ga percaya tempo.  Media anti jokowi.,negative
Tak dukung mbak,negative
kabel-kabel bikin semrawut,negative
Alhamdulillah kedua tokoh hebat ini akhirnya berdamai,positive
Maaf pak,negative
pak ganjar menunjukkan kinerja nya yg luar biasa,positive
Aku  Sudah Baca Tempo karena semuanya jelas #InvestigasiTempo,positive
Kamu udah Sudah Baca Tempo apa blm,positive
berkata jujur bhw keputusan nolak israel itu bkn dr dia...gw minta dia kluar dr PDI_Perjuangan dan gw akn pilih dia jd presiden di 2024...tp klo sebaliknya...gw akn GOLPUT di 2024,negative
sudah resikonya beliau. harap maklum,negative
Terlambat,negative
Emang ea?,negative
Selamat menunaikan ibadah puasa buat saudara saudara ku,positive
Permintaan pemerintah kepada FIFA seperti yang di jelaskan Di Majalah Tempo,negative
Untung Sudah Baca Tempo jadi tau #InvestigasiTempo kenapa piala dunia gagal diselenggarakan,positive
Msh ttp dkung ganjarpranowo  ???,negative
Mantap mas Gibran dan pak Ganjar bisa saling mengerti satu sama lain,positive
Saya sah gak percaya junalistik tempo,negative
Pemerintahan Israel??? ,negative
Wah wah sedikit demi sedikit akhirnya terbongkar nih,negative
pemerintah harus segera  meluruskan masalah u20 ini sebenarnya.,negative
Terbuka sudah lewat Aria Bima dan Tempo  #InvestigasiTempo,negative
Selamat menunaikan ibadah puasa buat seluruh rakyat yang menjalankan,positive
Test ombak  uban,negative
Sudah Baca Tempo dan semoga batalnya Pildun bisa jadi pelajaran berharga buat Indonesia #InvestigasiTempo,positive
Mas Gibran dan pak Ganjar adalah idola saya semangat maju terus,positive
Nanti saya jadikan materi baru lagi. Untuk speak up selanjutnya. Merapi di klaten,negative
Gampang banget menyalahkan orang,negative
Membungkuk berlebihan nyaris seperti ruku menurut saya bentuk pelecehan terhadap orang yang dibungkuki. Karena saya pernah jalan sopan di depan atasan,negative
kenapa signal makin melemah,negative
gak akan berani. sumprit,negative
Nahh #InvestigasiTempo,negative
Perbanyaklah doa di bulan Ramadan ini agar kita diberkahi,positive
Terlihat di sini kedekatan Mas Gibran dan Pak Ganjar yang memang akrab sekali,positive
Putihnya rambut bukan tanda kebijaksanaan,negative
Manisnya anak orang...,positive
Warga Wadas Ngabuburit di Depan Kantor Ganjar Pranowo,positive
Sy kecewa dgn pildun 20..,negative
Usut tuntas semua skenario PSSI di balik pembatalan status Indonesia sbg tuan rumah Piala dunia u-20. Erik pura2 jd korban,negative
untung  Sudah Baca Tempo ya ga penasaran lagi jalan cerita gimana...  #InvestigasiTempo,negative
Tolong minta bantuanya pak ganjar yg terhormat,positive
Dufan dimana yaa ? Mocari wahana roler koster,negative
Di bulan Ramadan ini marilah kita berbuat baik untuk sesama,positive
Buka bukaan aja apa dan bagaimana yg sebenarnya publik ingin tau apa kamu  Sudah Baca Tempo #InvestigasiTempo,negative
Dari dulu sekali ane rasaian tempo media itu keong racun ,negative
Pak Ganjar ternyata memang sahabat baik Mas Gibran,positive
Cek and ricek Tempo #InvestigasiTempo,negative
Sehat sehat terus pak Ganjar Pranowo semoga bisa menjadi presiden,positive
Cebong selain uda sejalan dengan kadrun.  Skr akur dengan tempo.,negative
Sudah Baca Tempo semoga segera ada jalan dan penyelesaian yang tepat #InvestigasiTempo,positive
Jangan asal lempar kesalahan,positive
Sudahlah Nasi sudah menjadi bubur. Tidak ada yg perlu diperbaiki lagi. Keputusan anda menolak kedatangan team Israel U20 padahal anda sudah ttd untuk menyukseskan Pildum U20. Itu pilihan anda. Kini pendukung anda banyak pergi karena kecewa. Itu pilihan mereka.  https://t.co/xocDBxtnws,positive
krn gak di suruh partai nya...gitu pake nanya,negative
Cacat dalam memahami isi preambule UUD 45,negative
Aku juga baru tau soalnya Sudah Baca Tempo jadi tau detailnya gimana #InvestigasiTempo,positive
Sudahkah anda berbuat kebaikan hari ini?,positive
Bubar,negative
Pak Ganjar dan mas Gibran sangat dekat sekali ya,positive
Sudah Baca Tempo karena sudah dibahas soal yang lagi ramai #InvestigasiTempo,positive
Tergantung arahan bu ketum. Kalo bu ketum oke,negative
Bersama Pak Ganjar mudik semakin nyaman dan aman yaa beliau selalu membantu dengan program program hebatnya seperti ini contohnya,positive
kalian Sudah Baca Tempo belum nih ,positive
Aku jadi paham pas Sudah Baca Tempo #InvestigasiTempo,positive
Sudah Baca Tempo hari ini siap kawal #InvestigasiTempo siapa dalangnya,positive
Bener kita tuh harus mencintai produk dalam negri yaa seperti Pak Ganjar ini,positive
Ga ada yg nyuruh nolak sih dari emak..,negative
Kawan sekadrunan,negative
SMK boarding besutan Pak Ganjar jadi percontohan untuk bantu menekankan kemiskinan,positive
Sudah jelas seperti nya aku tau karna Sudah Baca Tempo #InvestigasiTempo,positive
Ganjar Pranowo Mau Diwawancara Najwa Shihab,positive
Yg dilakukan pemerintah kepada agama non islam,negative
"Paham tidak kata kata bung Karno 'Beri aku 10 pemuda, niscaya akan kuguncangkan dunia lha ini malah membenamkan mimpi anak bangsa bisa berlaga di U20 di negaranya",negative
Pembatalan status tuan rumah piala dunia u20 masih menyisakan misteri,negative
tidak pernah mengajukan diri untuk menjadi presiden. Catet itu ya,negative
Nah iya untung aja gw Sudah Baca Tempo tinggal menunggu klarifikasi aja dari pihak yang terkait  #InvestigasiTempo,positive
semoga penanganan masalah ini bisa segera terselesaikan Sudah Baca Tempo #InvestigasiTempo,positive
segeralah minta maap ke Presiden utk kebaikan kita semua,positive
Hebat anda membela negara lain tp menghancurkan impian anak negeri sendiri!,negative
Mungkin beberapa tahun kedepan ada titik tambang di lereng atas merapi,negative
Tadi juga Sudah Baca Tempo faktor utama nya ya dari pem*rintah,negative
Sudah Baca Tempo tadi nih,positive
Ekheem (sekalian titip kepada FPI kita demo di Bali) TOLAK ISRAELLL. Kita harus patuh terhadap kepada konsitusi,negative
Pak jenengan harus berpikir panjang jika nolak team Israel dia datang hanya utk olah raga saja jadi untung ruginya sampeyan pikir apalagi yang sapeyan bela itu dulu ajaran bung Karno pada waktu dulu sekarang beda Indonesia sekarang sudah maju jadi ga pas,negative
Pak tolong ditolak juga ganjar pranowo,negative
Gaya lu yg sumbu pendek gitu yg akhirnya bikin kalian seperti orang tolol dalam berpolitik. Ibarat main kartu,negative
Hallo,positive
Aria Bima : Sebelum Pernyataan ganjar pranowo dan I Wayan Koster,negative
2024 gak jadi Ganjar,negative
jangan berharap dg org yg ga pny atitude,negative
Sudah Baca Tempo dong jdi tau hasil #InvestigasiTempo tentang gagal nya piala dunia,positive
Kita juga gk pingin salah2an Tapi kenyataanya negara ini memang tidak punya hubngan diplomatik sama israel. Tempo sudah melakukan investigasi trs masih mau menyalahkan pak ganjar pranowo ? Cuman ngasih pencerahan aja  Biar kalian yang menyimpulkan sendri #InvestigasiTempo,positive
Aku Sudah Baca Tempo dan semoga gak ada lagi yang saling menyalahkan #InvestigasiTempo,positive
Sudah Baca Tempo semoga segera ada kejelasan  #InvestigasiTempo,positive
Bener banget apa Sudah Baca Tempo ada #InvestigasiTempo lebih jelas,positive
Karena saya merasa belum benar ,positive
Mereka tinggal di Amrik tpi berkebangsaan Yahudi. Coba cek sendiri.,negative
Ada kaitannya kemarin Ganjar ngomongin tentang konstitusi,negative
Drama PSSI dibongkar oleh hasil #InvestigasiTempo,negative
Bibir mu berujar,negative
kapan nih formula E dilanjut?? Udah lupa?? Apa cuma mengendus aja???,negative
Sudah Baca Tempo sihh semoga aja ada kejelasan lebih lanjut  #InvestigasiTempo,positive
Kok aku jd kurang simpati yo sm bpk iki...  Opo aku saja yg gini..?    Kok isoo...  Bpk melukai hati pendukung mu sendiri..   Opo bpk gk iso menempatkan diri dlm politik.   Opo iki karakter asli bpk.,negative
kenapa piala dunia batal di gelar di Indonesia pak,negative
Anjayyy,negative
Kau tak makan anjing dan babi kenapa sama gaya ngomong mu sama dia.. nga ngaruh jg apa makannya ya kan?,negative
Kalau israel bersikap....ganjar mengubur mimpinya jadi presiden..,negative
Pasti Sudah Baca Tempo kan?? Ini dia hasil dari #InvestigasiTempo,positive
Tempo sudah melakukan investigasi trs kalian percay siapa?  #InvestigasiTempo,positive
Kalo Sudah Baca Tempo kek nya agak melek dikit nih masalah pembatalan bola kmaren hasil #InvestigasiTempo,positive
Apalagi aku juga Sudah Baca Tempo ni  #InvestigasiTempo,positive
Makin dalam nanti ketidaksukaan publik lho Paaaaakkkkk....... Sudah mulai adem,negative
"Mari kita sempurnakan ibadah puasa kita di Bulan Suci Ramadhan kita dengan mengikuti kegiatan bermakna. Pada kesempatan ini, Sahabat Ganjar mengundang kamu dalam acara ""Berkah Ramadhan Ganjar Pranowo untuk Indonesia 2024"". ",positive
Iya aku juga Sudah Baca Tempo semuanya diulas jelas di  #InvestigasiTempo,positive
Gubernur yg di gadang2 capres masa ga tau kalo pildun U 20 agenda besar jokowi dn negara kbetulan dia @ganjarpranowo adalah bawahan persiden dn notabene satu partai dgn jokowi. Mmbela bngsa palestina tapi mngorbnkn bngsa sndiri dn merusak cita2 anak bngsa itu namnya PENGHIANAT,negative
Aku si Sudah Baca Tempo,positive
Pemerintah bijak! Sementara ganjar pranowo ada gak kira2 minta maaf ke Pak Presiden bung towel???,negative
Tetap konsisten Pak.,positive
jadi sekarang percaya ama tempo toh,positive
Sudah Baca Tempo dong jadi uda baca #InvestigasiTempo terkait piala dunia yang gagal diselenggarakan,positive
Sudah disindir Gibran,negative
Kalian Sudah Baca Tempo kah?  #InvestigasiTempo lengkap tuh,positive
Kok sampai sekarang belum nyala?  Udahlah kalo emang susah atau ada kendala sampaikan aja,negative
Jadi pemimpin nggak bisa loyal kepada pimpinannya. Bgmn kalo seandainya jadi presiden besok kpd rakyat yg merupakan pimpinannya?,negative
Pas banget Sudah Baca Tempo tinggal nunggu kelanjutannya #InvestigasiTempo,positive
kalo Sudah Baca Tempo pasti paham akar masalahnya dimana biar netizen ini ngga asal tuduh sana sini #InvestigasiTempo,positive
Sudah Baca Tempo nih sekarang tinggal nunggu info selanjutnya  #InvestigasiTempo,positive
Dan aku Sudah Baca Tempo sangat penting biar tau yg sebenarnya  #InvestigasiTempo,positive
kuota mudik gratis membantu masyarakat yang ingin bertemu keluarga nya,positive
udah baca tempo,positive
Maaf,positive
Harusnya diadakan #InvestigasiTempo dulu biar jls permasalahan nya gmn. Pas Sudah Baca Tempo kemarin agak sedikit bingung juga sih,positive
Sudah Baca Tempo langsung ke sini buat dapet info  #InvestigasiTempo,positive
Yang pasti yang Sudah Baca Tempo udah gak kaget sihhh..  #InvestigasiTempo,positive
ini udah mau lebaran lagi....padahal THR sy dr tahun kemarin belum cair juga,negative
iyaa nih Sudah Baca Tempo ,positive
Sudah Baca Tempo jadi tau detailnya gimana #InvestigasiTempo,positive
Saya juga Sudah Baca Tempo jadi lebih terang informasinya sekarang ya #InvestigasiTempo,positive
Sudah Baca Tempo tentang masalah ini jangan ada pihak yang disalahkan  #InvestigasiTempo,positive
Lah sewot sendiri,negative
Aku Sudah Baca Tempo sih tapi masih menunggu update nya lagi biar makin jelas #InvestigasiTempo,positive
Apa pun alasannya sya gak lagi lah pendukung ganjar pranowo . Mau bicara sejarah,negative
memang hebat pemimpin yang satu ini berhasil membuat jateng semakin maju,positive
Sebelum menyalahkan kamu Sudah Baca Tempo apa belum jadi jangan sampai salah menilai min  #InvestigasiTempo,positive
Cek dan ricek dulu sebelum menyalahkan sebuah satu pihak  Sudah Baca Tempo dulu yang berisi  #InvestigasiTempo biar paham duduk perkaranya,positive
"Apa yang tidak dimiliki orang bijak dengan kebodohannya yaitu ""rasis""",negative
Sudah Baca Tempo belum?? udah ada penjelasan dan #InvestigasiTempo kok soal U20 itu,positive
Sudah Baca Tempo juga kemarin,positive
Aku Sudah Baca Tempo yg beberapa hari lalu. Memang disitu ada #InvestigasiTempo,positive
hmmm pusing banget nggak kelar,negative
Aku Sudah Baca Tempo penasaran kelanjutan nya gi mana #InvestigasiTempo,positive
Gue sudah baca Tempo juga,positive
pas bgt nih Sudah Baca Tempo skr tinggal nunggu kelanjutannya #InvestigasiTempo,positive
Saya Sudah Baca Tempo jadi nunggu info selanjutnya gimana #InvestigasiTempo,positive
Saya Sudah Baca Tempo dan semoga masalahnya di ber belit belit  #InvestigasiTempo,positive
